,anoFundacao,intervaloFundacao
621,1997.0,Acima de 17 anos
622,2013.0,De 6 a 10 anos
623,2008.0,De 11 a 16 anos
624,1995.0,Acima de 17 anos
625,2011.0,De 6 a 10 anos
626,2007.0,De 11 a 16 anos
627,2013.0,De 6 a 10 anos
628,1990.0,Acima de 17 anos
629,2010.0,De 6 a 10 anos
630,2014.0,De 6 a 10 anos
631,2006.0,De 11 a 16 anos
632,2006.0,De 11 a 16 anos
633,2017.0,De 0 a 5 anos
634,1997.0,Acima de 17 anos
635,1983.0,Acima de 17 anos
636,2009.0,De 11 a 16 anos
637,1986.0,Acima de 17 anos
638,2017.0,De 0 a 5 anos
639,1990.0,Acima de 17 anos
640,2002.0,Acima de 17 anos
641,1996.0,Acima de 17 anos
642,2005.0,De 11 a 16 anos
643,2012.0,De 6 a 10 anos
644,2013.0,De 6 a 10 anos
645,2019.0,De 0 a 5 anos
646,1991.0,Acima de 17 anos
647,1986.0,Acima de 17 anos
648,2018.0,De 0 a 5 anos
649,1970.0,Acima de 17 anos
650,2018.0,De 0 a 5 anos
651,2005.0,De 11 a 16 anos
652,1993.0,Acima de 17 anos
653,1991.0,Acima de 17 anos
654,,
655,1993.0,Acima de 17 anos
656,2014.0,De 6 a 10 anos
657,2010.0,De 6 a 10 anos
658,1994.0,Acima de 17 anos
659,2006.0,De 11 a 16 anos
660,2000.0,Acima de 17 anos
661,1970.0,Acima de 17 anos
662,2018.0,De 0 a 5 anos
663,1994.0,Acima de 17 anos
664,2005.0,De 11 a 16 anos
665,2009.0,De 11 a 16 anos
666,2018.0,De 0 a 5 anos
667,2004.0,De 11 a 16 anos
668,,
669,2007.0,De 11 a 16 anos
670,2014.0,De 6 a 10 anos
671,1970.0,Acima de 17 anos
672,1970.0,Acima de 17 anos
673,2010.0,De 6 a 10 anos
674,2017.0,De 0 a 5 anos
675,2008.0,De 11 a 16 anos
676,,
677,2014.0,De 6 a 10 anos
678,2017.0,De 0 a 5 anos
679,2016.0,De 0 a 5 anos
680,1986.0,Acima de 17 anos
681,1973.0,Acima de 17 anos
682,2013.0,De 6 a 10 anos
683,2009.0,De 11 a 16 anos
684,2013.0,De 6 a 10 anos
685,2009.0,De 11 a 16 anos
686,2005.0,De 11 a 16 anos
